enabled,id,name,date,repeat,rrule,category,note
TRUE,valentine,情人节,2026-02-14,yearly,,international,公历固定节日；每年重复
TRUE,womens-day,妇女节,2026-03-08,yearly,,modern,公历固定节日；每年重复
TRUE,arbor-day-cn,植树节,2026-03-12,yearly,,modern,公历固定节日；每年重复
TRUE,april-fools,愚人节,2026-04-01,yearly,,international,公历固定节日；每年重复
TRUE,childrens-day,儿童节,2026-06-01,yearly,,modern,公历固定节日；每年重复
TRUE,teachers-day-cn,教师节,2026-09-10,yearly,,modern,公历固定节日；每年重复
TRUE,halloween,万圣夜,2026-10-31,yearly,,international,公历固定节日；每年重复
TRUE,christmas-eve,平安夜,2026-12-24,yearly,,international,公历固定节日；每年重复
TRUE,christmas,圣诞节,2026-12-25,yearly,,international,公历固定节日；每年重复
TRUE,mothers-day,母亲节,2026-05-10,rrule,FREQ=YEARLY;BYMONTH=5;BYDAY=2SU,international,每年5月第2个星期日
TRUE,fathers-day,父亲节,2026-06-21,rrule,FREQ=YEARLY;BYMONTH=6;BYDAY=3SU,international,每年6月第3个星期日
TRUE,thanksgiving,感恩节,2026-11-26,rrule,FREQ=YEARLY;BYMONTH=11;BYDAY=4TH,international,每年11月第4个星期四
TRUE,lantern-lunar2026,元宵节,2026-03-03,none,,lunar,农历正月十五
TRUE,qixi-lunar2026,七夕,2026-08-19,none,,lunar,农历七月初七
TRUE,zhongyuan-lunar2026,中元节,2026-08-27,none,,lunar,农历七月十五
TRUE,double-ninth-lunar2026,重阳节,2026-10-19,none,,lunar,农历九月初九
TRUE,laba-lunar2026,腊八节,2027-01-15,none,,lunar,农历腊月初八；属农历2026年
TRUE,xiaonian-north-lunar2026,小年（北方）,2027-01-30,none,,lunar,农历腊月廿三；属农历2026年
TRUE,xiaonian-south-lunar2026,小年（南方）,2027-01-31,none,,lunar,农历腊月廿四；属农历2026年
TRUE,lantern-lunar2027,元宵节,2027-02-21,none,,lunar,农历正月十五
TRUE,qixi-lunar2027,七夕,2027-08-08,none,,lunar,农历七月初七
TRUE,zhongyuan-lunar2027,中元节,2027-08-16,none,,lunar,农历七月十五
TRUE,double-ninth-lunar2027,重阳节,2027-10-08,none,,lunar,农历九月初九
TRUE,laba-lunar2027,腊八节,2028-01-04,none,,lunar,农历腊月初八；属农历2027年
TRUE,xiaonian-north-lunar2027,小年（北方）,2028-01-19,none,,lunar,农历腊月廿三；属农历2027年
TRUE,xiaonian-south-lunar2027,小年（南方）,2028-01-20,none,,lunar,农历腊月廿四；属农历2027年
TRUE,lantern-lunar2028,元宵节,2028-02-10,none,,lunar,农历正月十五
TRUE,qixi-lunar2028,七夕,2028-08-26,none,,lunar,农历七月初七
TRUE,zhongyuan-lunar2028,中元节,2028-09-03,none,,lunar,农历七月十五
TRUE,double-ninth-lunar2028,重阳节,2028-10-26,none,,lunar,农历九月初九
TRUE,laba-lunar2028,腊八节,2029-01-22,none,,lunar,农历腊月初八；属农历2028年
TRUE,xiaonian-north-lunar2028,小年（北方）,2029-02-06,none,,lunar,农历腊月廿三；属农历2028年
TRUE,xiaonian-south-lunar2028,小年（南方）,2029-02-07,none,,lunar,农历腊月廿四；属农历2028年
TRUE,lantern-lunar2029,元宵节,2029-02-27,none,,lunar,农历正月十五
TRUE,qixi-lunar2029,七夕,2029-08-16,none,,lunar,农历七月初七
TRUE,zhongyuan-lunar2029,中元节,2029-08-24,none,,lunar,农历七月十五
